idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;2648;407;2697;404;2703;460;2646;464
1;2703;460;2755;460;2758;514;2704;519
2;2589;464;2646;464;2646;521;2590;522
3;2533;412;2584;409;2589;464;2532;467
4;2646;521;2704;519;2706;576;2648;578
5;2532;525;2590;522;2592;580;2534;583
6;2592;580;2648;578;2647;633;2596;636
7;2478;584;2534;583;2533;637;2483;640
8;2474;469;2532;467;2532;525;2476;527
9;2419;530;2476;527;2478;584;2420;587
10;2419;416;2470;413;2474;469;2418;471
11;2360;474;2418;471;2419;530;2362;532
12;2306;534;2362;532;2364;589;2307;591
13;2305;421;2356;418;2360;474;2304;476
14;2246;478;2304;476;2306;534;2248;536
15;2192;538;2248;536;2250;593;2194;595
16;2192;425;2241;422;2246;478;2190;480
17;2133;482;2190;480;2192;538;2135;540
18;2078;542;2135;540;2137;597;2080;599
19;2079;428;2129;428;2133;482;2076;483
20;2020;486;2076;483;2078;542;2022;544
21;1964;546;2022;544;2023;600;1966;603
22;1963;434;2014;431;2020;486;1962;488
23;1906;490;1962;488;1964;546;1908;548
24;1850;550;1908;548;1909;604;1852;606
25;1850;437;1900;435;1906;490;1848;492
26;1792;494;1848;492;1850;550;1794;552
27;1736;552;1794;552;1794;609;1737;609
28;1735;442;1786;439;1792;494;1734;496
29;1676;498;1734;496;1736;552;1679;556
30;1622;556;1679;556;1680;612;1623;613
31;1621;446;1671;443;1676;498;1620;499
32;1563;502;1620;499;1622;556;1564;558
33;1507;560;1564;558;1566;616;1509;617
34;1507;449;1557;447;1563;502;1506;503
35;1448;505;1506;503;1507;560;1450;562
36;1393;564;1450;562;1452;618;1394;620
37;1393;453;1443;451;1448;505;1392;506
38;1338;511;1392;506;1393;564;1340;563
39;1452;618;1509;617;1507;670;1457;673
40;1340;625;1394;620;1393;673;1342;676
41;1566;616;1623;613;1622;668;1572;670
42;1680;612;1737;609;1736;664;1686;667
43;1794;609;1852;606;1851;660;1800;663
44;1909;604;1966;603;1965;657;1914;659
45;2023;600;2080;599;2079;653;2030;656
46;2137;597;2194;595;2192;650;2142;652
47;2250;593;2307;591;2306;645;2255;648
48;2364;589;2420;587;2419;641;2369;644
49;2706;576;2759;578;2759;630;2709;630
