nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
../Data/OLD/D01-L2-2.JPG;Non;0;0;0;0;0;0;0;0;0;0;0;0;0
../Data/OLD/D01-L1-BBF-3.jpg;Oui;0;25;36.44;37;0;37;5.13952;40;37.225;37;34;37;0.530481
../Data/OLD/D01-L2-1.JPG;Non;0;0;0;0;0;0;0;0;0;0;0;0;0
../Data/OLD/D03-S-4.JPG;Oui;0;22;50.6136;52;0;51;7.53663;36;51.6667;52;49;51;0.676123
../Data/OLD/D01-L3-BBF-2.jpg;Oui;0;25;77.04;80;0;79;11.2721;40;79.25;80;75;78;0.926809
../Data/OLD/D01-L4-BBF-4.jpg;Oui;0;25;55.8;57;0;56;7.80371;40;56.9;57;54;56;0.590523
../Data/OLD/D01-L1-1.JPG;Oui;0;25;32.06;33;0;32;4.39578;40;32.6;33;30;32;0.545377
../Data/OLD/IMG4L-5.jpg;Oui;0;50;48.42;49;0;51;4.96489;80;48.9;49;44;49;1.09775
../Data/OLD/D02-L1-BBF-2.jpg;Non;0;0;0;0;0;0;0;0;0;0;0;0;0
../Data/OLD/D01-L3-BBF-1.jpg;Oui;0;21;74.5952;76;0;78;11.5717;34;76.2059;76;72;76;1.00843
../Data/OLD/D03-L2-3.JPG;Oui;0;25;43.64;44;0;45;6.16031;40;44.425;44;41;44;1.03497
../Data/OLD/D01-L4-1.JPG;Oui;0;25;65.28;67;0;66;9.21631;40;66.625;67;63;66;0.978945
../Data/OLD/D03-S-1.JPG;Oui;0;20;50.825;52;0;51;7.95141;32;52.0625;52;49;51;0.669015
../Data/OLD/D03-S-2.JPG;Oui;0;25;41.32;42;0;41;5.71943;40;42.125;42;39;41;0.647975
