nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C04c.jpeg;Oui;0;25;60;61;0;62;8.51409;40;61.15;61;57;61;1.12204
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C04d.jpeg;Oui;0;23;60.6304;62;0;62;8.92776;38;61.8947;62;58;61;1.03426
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C05a.jpeg;Oui;0;25;50.06;51;0;53;7.24332;40;50.95;51;46;52;1.69388
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C05b.jpeg;Oui;0;25;59.1;61;0;59;8.29864;40;60.4;61;57;59;0.7779
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C05c.jpeg;Oui;0;25;42.2;43;0;43;5.8728;40;43;43;40;42;0.679366
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C05d.jpeg;Oui;0;25;67.24;69;0;69;9.47728;40;68.525;69;65;68;0.816104
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C06a.jpeg;Oui;0;25;44.16;45;0;44;6.11575;40;45;45;42;44;0.50637
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C06b.jpeg;Oui;0;25;47.98;49;0;48;6.68684;40;48.9;49;46;48;0.744208
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C06c.jpeg;Oui;0;25;42.72;44;0;43;5.92139;40;43.525;44;41;42;0.505736
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C06d.jpeg;Oui;0;25;45.28;46;0;46;6.32146;40;46.175;46;43;45;0.812956
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C07a.jpeg;Oui;0;25;43.26;44;0;44;6.12392;40;44.15;44;40;44;1.12204
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C07b.jpeg;Oui;0;25;45.7;47;0;46;6.35433;40;46.55;47;44;46;0.552384
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C07c.jpeg;Oui;0;25;61.92;63;0;63;8.76645;40;63.15;63;59;63;1.25167
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C07d.jpeg;Oui;0;25;51.36;52;0;52;7.19342;40;52.325;52;49;52;0.79703
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C08a.jpeg;Oui;0;25;33.54;34;0;33;4.57237;40;34.125;34;32;33;0.334932
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C08b.jpeg;Oui;0;26;74.5385;58;0;505;87.6952;42;58.1667;58;56;59;0.537232
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C08c.jpeg;Oui;0;25;44.12;45;0;45;6.19625;40;44.95;45;41;45;0.875595
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C08d.jpeg;Oui;0;25;35.6;36;0;36;4.92391;40;36.25;36;33;35;0.588348
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C09a.jpeg;Oui;0;25;42.34;43;0;42;5.88533;40;43.2;43;40;42;0.790975
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C09b.jpeg;Oui;0;26;63.8269;53;0;353;59.2915;42;52.9524;53;48;57;1.8604
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C09c.jpeg;Oui;0;25;47.62;49;0;48;6.65135;40;48.575;49;45;48;0.635993
