"treeID"	"discID"	"height_m"	"areaHWLogyard_cm2"	"areaUBLogyard_cm2"	"incompleteAreaUBLogyard"	"airDryDensity_kgpm3"	"nbRings"	"nbRingsHW"	"ringWidth_mm"	"imageNameLogyard"	"pixelWidthLogyard_mm"	"pithX_pixel"	"pithY_pixel"
"A01"	"A01a"	0	1879.65113272907	2752.73130030666	0	573.967573376292	52	40	5.83245277355036	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A01a.jpeg"	0.314828550667877	1443.667	2636.667
"A01"	"A01b"	4	1363.75595198963	2000.59434730291	0	548.246194743013	48	34.75	5.29939564546183	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A01b.jpeg"	0.357464575260592	1289.333	1659
"A01"	"A01c"	8	1346.27316937865	1937.97532139883	0	523.989512271821	44	33.25	5.57709318825917	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A01c.jpeg"	0.300674834598774	1687.667	2631
"A01"	"A01d"	12	1020.22791211246	1499.37393864541	0	500.659539509098	38	28	5.87311512680989	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A01d.jpeg"	0.294609471576667	1379.333	1613.333
"A02"	"A02a"	0	1557.17275774982	2288.80101469443	0	479.639666300953	51	39	5.45083274710116	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A02a.jpeg"	0.350643922499278	1492	1633.333
"A02"	"A02b"	4	1197.09210760101	1715.41353474757	0	471.026268099045	45	35	6.18353333333333	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A02b.jpeg"	0.246469083903991	1156	1410
"A02"	"A02c"	8	1178.11177556494	1672.63709158409	0	451.878352637956	41	27.5	5.67771696944869	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A02c.jpeg"	0.346462891052665	1559.333	2446.667
"A02"	"A02d"	12	966.914537982596	1400.61726696366	0	484.9435184961	37	23.75	5.94426806065059	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A02d.jpeg"	0.267800713421101	1596	2599.667
"A03"	"A03a"	0	1525.60683191983	2852.27400810655	0	566.877269562591	52	43.5	5.99541608155259	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A03a.jpeg"	0.280304253448864	1688.667	1475.333
"A03"	"A03b"	4	794.699890849545	1627.31516503846	0	566.135366473913	46	34.5	5.2110252450965	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A03b.jpeg"	0.216820406789774	1457.333	2131.333
"A03"	"A03c"	8	665.151043511332	1447.21485627646	0	565.077637728996	42	30	5.15767984719672	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A03c.jpeg"	0.207572235137828	1068.667	1792.667
"A03"	"A03d"	12	580.450513454233	1236.60726234662	0	566.598592917985	38	25.25	5.16330343927125	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A03d.jpeg"	0.393019965414243	1861.333	1676
"A04"	"A04a"	0	1496.99751851907	2893.63210567754	0	503.826122774179	51	37	5.96021568627451	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A04a.jpeg"	0.266049431984463	1358.333	2416.667
"A04"	"A04b"	4	1251.15567623282	2433.78899340596	0	473.94835225627	48	32.5	5.93602633641042	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A04b.jpeg"	0.24562517009543	1310.333	1826
"A04"	"A04c"	8	1150.09459581975	2227.83298138323	0	470.882282548336	42	28.75	6.42524525148003	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A04c.jpeg"	0.289321379345462	1301.333	1386.333
"A04"	"A04d"	12	889.132466008367	1823.17478350888	0	470.733064281428	38	24.75	6.60437213662881	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A04d.jpeg"	0.195907876280258	1371.333	2335.667
"A05"	"A05a"	0	1005.43095521493	2051.47063131229	0	569.743737160604	52	35.5	5.07277693941493	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A05a.jpeg"	0.197504023156952	1391.333	1642
"A05"	"A05b"	4	870.676446035804	1369.47654432745	0	518.565507715341	47	31.75	4.63266942361057	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A05b.jpeg"	0.25065998774774	1238.667	1515.667
"A05"	"A05c"	8	727.347897972412	1144.39523959402	0	491.571793189092	43	30	4.67866202623494	"TreeTrace_Douglas/logs_and_discs/color_images/discs/A05c.jpeg"	0.161875161875162	1356.667	2173.333
