"discID"	"site"	"device"	"imageName"	"pixelWidth_mm"	"pithX_pixel"	"pithY_pixel"	"areaUB_pixel"
"E001B_le"	"corcieux"	"huawei"	"corcieux_huawei_E001B_le_1.jpg"	NA	1893	1762	NA
"E001H_se"	"corcieux"	"huawei"	"corcieux_huawei_E001H_se_1.jpg"	NA	1697	1750	NA
"E002B_le"	"corcieux"	"huawei"	"corcieux_huawei_E002B_le_1.jpg"	NA	2569	1806	NA
"E002H_se"	"corcieux"	"huawei"	"corcieux_huawei_E002H_se_1.jpg"	NA	1785	1778	NA
"E003B_le"	"corcieux"	"huawei"	"corcieux_huawei_E003B_le_1.jpg"	NA	1679	1334	NA
"E003H_se"	"corcieux"	"huawei"	"corcieux_huawei_E003H_se_1.jpg"	NA	1963	1468	NA
"E004B_le"	"corcieux"	"huawei"	"corcieux_huawei_E004B_le_1.jpg"	NA	2069	1542	NA
"E004H_se"	"corcieux"	"huawei"	"corcieux_huawei_E004H_se_1.jpg"	NA	1941	1502	NA
"E005B_le"	"corcieux"	"huawei"	"corcieux_huawei_E005B_le_1.jpg"	NA	1629	1668	NA
"E005H_se"	"corcieux"	"huawei"	"corcieux_huawei_E005H_se_1.jpg"	NA	2021	1746	NA
"E006B_le"	"corcieux"	"huawei"	"corcieux_huawei_E006B_le_1.jpg"	NA	1589	1708	NA
"E006H_se"	"corcieux"	"huawei"	"corcieux_huawei_E006H_se_1.jpg"	NA	2087	1828	NA
"E007B_le"	"corcieux"	"huawei"	"corcieux_huawei_E007B_le_1.jpg"	NA	2073	1768	NA
"E007H_se"	"corcieux"	"huawei"	"corcieux_huawei_E007H_se_1.jpg"	NA	1881	1898	NA
"E008B_le"	"corcieux"	"huawei"	"corcieux_huawei_E008B_le_1.jpg"	NA	2383	1814	NA
"E008H_se"	"corcieux"	"huawei"	"corcieux_huawei_E008H_se_1.jpg"	NA	2155	1996	NA
"E009B_le"	"corcieux"	"huawei"	"corcieux_huawei_E009B_le_1.jpg"	NA	1955	1550	NA
"E009H_se"	"corcieux"	"huawei"	"corcieux_huawei_E009H_se_1.jpg"	NA	2045	1812	NA
"E010B_le"	"corcieux"	"huawei"	"corcieux_huawei_E010B_le_1.jpg"	NA	2117	1538	NA
"E010H_se"	"corcieux"	"huawei"	"corcieux_huawei_E010H_se_1.jpg"	NA	1957	1570	NA
"E011B_le"	"corcieux"	"huawei"	"corcieux_huawei_E011B_le_1.jpg"	NA	1533	1662	NA
"E011H_se"	"corcieux"	"huawei"	"corcieux_huawei_E011H_se_1.jpg"	NA	1953	1698	NA
"E012B_le"	"corcieux"	"huawei"	"corcieux_huawei_E012B_le_1.jpg"	NA	1793	1652	NA
"E012H_se"	"corcieux"	"huawei"	"corcieux_huawei_E012H_se_1.jpg"	NA	2405	1694	NA
